ИмяСвойства;eng;ru
Рамка;Border;Рамка
РастягиватьПоВертикали;VerticalStretch;РастягиватьПоВертикали
РастягиватьПоГоризонтали;HorizontalStretch;РастягиватьПоГоризонтали
РасширенноеРедактирование;ExtendedEdit;РасширенноеРедактирование
Редактирование;Edit;Редактирование
РедактированиеТекста;TextEdit;РедактированиеТекста
РежимВводаСтрок;RowInputMode;РежимВводаСтрок
РежимВыбора;ChoiceMode;РежимВыбора
РежимВыбораНезаполненного;IncompleteChoiceMode;РежимВыбораНезаполненного
РежимВыбораИзСписка;ListChoiceMode;РежимВыбораИзСписка
РежимВыделения;SelectionMode;РежимВыделения
РежимВыделенияЗначений;ValuesSelectionMode;РежимВыделенияЗначений
РежимВыделенияИнтервалов;IntervalsSelectionMode;РежимВыделенияИнтервалов
РежимВыделенияСтроки;RowSelectionMode;РежимВыделенияСтроки
РежимМасштабированияПросмотра;ViewScalingMode;РежимМасштабированияПросмотра
РежимОтображенияВыделения;SelectionShowMode;РежимОтображенияВыделения
РежимОтображенияВыделенияРисунков;DrawingSelectionShowMode;РежимОтображенияВыделенияРисунков
РежимПароля;PasswordMode;РежимПароля

СвязиПараметровВыбора;ChoiceParameterLinks;СвязиПараметровВыбора
СвязьПоТипу;TypeLink;СвязьПоТипу
СквозноеВыравнивание;ThroughAlign;СквозноеВыравнивание
СочетаниеКлавиш;Shortcut;СочетаниеКлавиш
СпециальныйРежимВводаТекста;SpecialTextInputMode;СпециальныйРежимВводаТекста
СписокВыбора;ChoiceList;СписокВыбора
СпособПеретаскиванияФайлов;FileDragMode;СпособПеретаскиванияФайлов

ТекстКнопкиВводаЭкраннойКлавиатуры;OnScreenKeyboardReturnKeyText;ТекстКнопкиВводаЭкраннойКлавиатуры
ТекстНевыбраннойКартинки;NonselectedPictureText;ТекстНевыбраннойКартинки
ТипКурсоров;PointerType;ТипКурсоров
ТолькоПросмотр;ReadOnly;ТолькоПросмотр

УникальностьКоманды;CommandUniqueness;УникальностьКоманды

Фигура;Shape;Фигура
ФормаВыбора;ChoiceForm;ФормаВыбора
Формат;Format;Формат
ФорматРедактирования;EditFormat;ФорматРедактирования

ЦветРамки;BorderColor;ЦветРамки
ЦветТекста;TextColor;ЦветТекста
ЦветТекстаЗаголовка;TitleTextColor;ЦветТекстаЗаголовка
ЦветФона;BackColor;ЦветФона

ЧередованиеЦветовСтрок;UseAlternationRowColor;ЧередованиеЦветовСтрок
ЧерноБелыйПросмотр;BlackAndWhiteView;ЧерноБелыйПросмотр

ШагРазметки;MarkingStep;ШагРазметки
Шапка;Header;Шапка
Ширина;Width;Ширина
ШиринаВМесяцах;WidthInMonths;ШиринаВМесяцах
ШиринаВыпадающегоСписка;DropListWidth;ШиринаВыпадающегоСписка
Шрифт;Font;Шрифт
ШрифтЗаголовка;TitleFont;ШрифтЗаголовка
